title,link,category,publication_time,readers
"Gate Learn Must Read ! ThirdWeb, PancakeSwap, Farcana, Chintai, and Zignaly",https://www.gate.io/announcements/article/38973,Gate Learn,2024-09-02 UTC,2572
"Gate Research: BTC Experiences Narrow Fluctuations, Polymarket Hits Record Betting Volume, NFTs on Opensea Accused of Being Unregistered Securities",https://www.gate.io/announcements/article/38953,Gate Learn,2024-08-30 UTC,7819
Gate.io Completes Delisting and Buyback of ZKX (ZKX) and Catgirl (CATGIRL),https://www.gate.io/announcements/article/39068,Delisting,5 day ago,8813
Gate.io Completes Delisting and Buyback of Envoy (ENV),https://www.gate.io/announcements/article/39019,Delisting,2024-09-04 UTC,7971
"Gate.io Delists PLY, PPS, EDR, BBK, and Other Tokens",https://www.gate.io/announcements/article/38999,Delisting,2024-09-03 UTC,9911
Gate.io to Delist NFTMart Token (NMT),https://www.gate.io/announcements/article/38984,Delisting,2024-09-02 UTC,10987
Gate.io to Delist Formation FI (FORM),https://www.gate.io/announcements/article/38977,Delisting,2024-09-02 UTC,7544
Gate.io to Delist MATIC Weekly Delivery Futures Market,https://www.gate.io/announcements/article/38947,Delisting,2024-08-30 UTC,10700
Gate.io Supports Ignore Fud (4TOKEN) Migration to Fishkoin (KOIN) and Delists Fishkoin (KOIN),https://www.gate.io/announcements/article/38945,Delisting,2024-08-30 UTC,9299
Gate.io Completes Delisting and Buyback of MuratiAI (MURATIAI),https://www.gate.io/announcements/article/38719,Delisting,2024-08-21 UTC,10737
Gate.io Completes Delisting and Buyback of Socean Staked Sol (SCNSOL),https://www.gate.io/announcements/article/38648,Delisting,2024-08-19 UTC,8970
Gate.io will Delist Premarket DOGS/USDT Perpetual,https://www.gate.io/announcements/article/38639,Delisting,2024-08-17 UTC,20912
Gate.io Completes Delisting and Buyback of Mojito (MOJITO),https://www.gate.io/announcements/article/38584,Delisting,2024-08-15 UTC,13038
Gate.io to Delist Aragon (ANT) and Support Redemption for ETH,https://www.gate.io/announcements/article/38563,Delisting,2024-08-14 UTC,14150
"Gate.io Completes Delisting and Buyback of PLAY Token (PLAY), Hoge Finance (HOGE), and YIN Finance (YIN)",https://www.gate.io/announcements/article/38540,Delisting,2024-08-13 UTC,12734
Gate.io Not Supporting Catgirl (CATGIRL) Token Swap and Initiating a Delisting & Buyback Plan,https://www.gate.io/announcements/article/38492,Delisting,2024-08-09 UTC,22881
Gate.io to Delist ZKX (ZKX),https://www.gate.io/announcements/article/38490,Delisting,2024-08-09 UTC,26043
Gate Wealth Thursday: New BTC Hybrid Interest Rate Increased by 100%,https://www.gate.io/announcements/article/38923,Gate Wealth,2024-08-29 UTC,5079
Quant Fund Introduces New Offering: Smart Arbitrage-USDT with an Expected Annualized Return of 8.84%,https://www.gate.io/announcements/article/38891,Gate Wealth,2024-08-28 UTC,2682
Gate Wealth Tuesday: USDT Quante Fund with an Expected Annualized Return of 9.29%!,https://www.gate.io/announcements/article/38868,Gate Wealth,2024-08-27 UTC,4168
Gate Wealth Monday: New USDT Hybrid Interest Rate Increased by 100%,https://www.gate.io/announcements/article/38838,Gate Wealth,2024-08-26 UTC,3329
"Gate Quant Fund New Page Launch: Expert Strategies, Transparent Performance, Steady Investment",https://www.gate.io/announcements/article/38746,Gate Wealth,2024-08-21 UTC,6505
Gate Wealth Tuesday: USDT Quante Fund with an Expected Annualized Return of 9.04%!,https://www.gate.io/announcements/article/38706,Gate Wealth,2024-08-20 UTC,3461
Gate Wealth Monday: USDT Quante Fund with an Expected Annualized Return of 6..59%!,https://www.gate.io/announcements/article/38671,Gate Wealth,2024-08-19 UTC,2669
Gate Wealth Thursday: USDT Quante Fund with an Expected Annualized Return of 10.50%!,https://www.gate.io/announcements/article/38602,Gate Wealth,2024-08-15 UTC,3301
Quant Fund Introduces New Offering: Arbitrage Pioneer - USDT with an Expected Annualized Return of 10.01%,https://www.gate.io/announcements/article/38569,Gate Wealth,2024-08-14 UTC,4494
"Quant Fund Principal Protection Initiative: 100% Principal Protection in 30 Days, Enjoy High Annualized Returns with USDT & BTC!",https://www.gate.io/announcements/article/38550,Gate Wealth,2024-08-13 UTC,5222
Gate Wealth Tuesday: USDT Quante Fund with an Expected Annualized Return of 6.48%!,https://www.gate.io/announcements/article/38545,Gate Wealth,2024-08-13 UTC,3429
Gate Wealth Monday: USDT Quante Fund with an Expected Annualized Return of 6.33%!,https://www.gate.io/announcements/article/38520,Gate Wealth,2024-08-12 UTC,2920
"Gate Wealth Thursday: BTC Quant Fund with an Expected Annualized Return of 1.04%, USDT Quante Fund with an Expected Annualized Return of 8.28%!",https://www.gate.io/announcements/article/38474,Gate Wealth,2024-08-08 UTC,5260
"Gate Wealth Wednesday: BTC Quant Fund with an Expected Annualized Return of 0.76%, USDT Quante Fund with an Expected Annualized Return of 8.44%!",https://www.gate.io/announcements/article/38447,Gate Wealth,2024-08-07 UTC,3375
"Gate Wealth Monday: BTC Quant Fund with an Expected Annualized Return of 1.42%, USDT Quante Fund with an Expected Annualized Return of 9.33%!",https://www.gate.io/announcements/article/38420,Gate Wealth,2024-08-06 UTC,4712
"GT Holder-Exclusive Airdrop: Gate.io Startup Initial Free Offering: Crypsure (CRS) and Only GT Subscription Rules Announcement (2,727,273 CRS free of charge)",https://www.gate.io/announcements/article/39172,New Cryptocurrency Listings,12 hours 38 min 34 sec ago,6590
"GT Holder-Exclusive Airdrop: Gate.io Startup Free Offering: Zero1 Labs(DEAI) and Announcement of Free Distribution Rules (219,781 DEAI free of charge)",https://www.gate.io/announcements/article/39170,New Cryptocurrency Listings,14 hours 40 min 55 sec ago,3956
Gate.io opened deposits for Fractal Bitcoin (FB),https://www.gate.io/announcements/article/39167,New Cryptocurrency Listings,15 hours 52 min 59 sec ago,6180
Gate.io Startup:LOVECHAIN (LCI) Initial Sale Result & Listing Schedule,https://www.gate.io/announcements/article/39166,New Cryptocurrency Listings,16 hours 11 min 35 sec ago,3315
Introducing Startup Mining MetaCene(MAK) Phase 2: Stake to Earn Mining Rewards!,https://www.gate.io/announcements/article/39156,New Cryptocurrency Listings,18 hours 10 min 18 sec ago,2432
"Gate.io Startup Initial Free Offering:Debox(BOX) and Announcement of Free Distribution Rules (1,250,000 BOX free of charge)",https://www.gate.io/announcements/article/39154,New Cryptocurrency Listings,18 hours 34 min 3 sec ago,3742
Gate.io Announcement on Launching the Pre-Market Trade to RabBitcoin (RBTC),https://www.gate.io/announcements/article/39146,New Cryptocurrency Listings,1 day ago,6893
"PreMint CATI PreToken and Stake to Earn 1,500 TON Mining Rewards!",https://www.gate.io/announcements/article/39144,New Cryptocurrency Listings,1 day ago,9054
Introducing Counter Fire(CEC) on Startup Mining: Stake to Earn Mining Rewards!,https://www.gate.io/announcements/article/39124,New Cryptocurrency Listings,1 day ago,3226
"Gate.io Startup Initial Free Offering: Matrix One(MATRIX) and Announcement of Free Distribution Rules (3,333,334 MATRIX free of charge)",https://www.gate.io/announcements/article/39116,New Cryptocurrency Listings,2 day ago,6640
Gate.io Startup:Counter Fire (CEC) Initial Sale Result & Listing Schedule,https://www.gate.io/announcements/article/39105,New Cryptocurrency Listings,2 day ago,3281
Gate.io will list Catizen (CATI),https://www.gate.io/announcements/article/39103,New Cryptocurrency Listings,2 day ago,43684
Gate.io Startup:BYIN (BYIN) Initial Sale Result & Listing Schedule,https://www.gate.io/announcements/article/39084,New Cryptocurrency Listings,5 day ago,20661
Gate.io Announcement on Launching the Pre-Market PreToken Trading to Catizen (CATI),https://www.gate.io/announcements/article/39083,New Cryptocurrency Listings,5 day ago,35238
Gate.io Has Added Quickswap (QUICK) Perpetual Contract,https://www.gate.io/announcements/article/39075,New Cryptocurrency Listings,5 day ago,4088
A Day in the Nursing Home with Gate Keepers,https://www.gate.io/announcements/article/39016,Gate Charity,2024-09-04 UTC,2472
Gate Charity Helps Educate And Inspire Children In Benin Through The Empowering Minds Book Donation Project,https://www.gate.io/announcements/article/38948,Gate Charity,2024-08-30 UTC,7237
- Gate Charity Hosts Artistic Qixi Festival Event to Support Disadvantaged Communitie,https://www.gate.io/announcements/article/38931,Gate Charity,2024-08-30 UTC,2922
"Gate Charity Supports An Independence Day Festival For The Suku Anak Dalam Community in Skaladi Village, Indonesia",https://www.gate.io/announcements/article/38888,Gate Charity,2024-08-28 UTC,3820
Gate Charity Partners with Fórum Animal to Support Terra dos Bichos Sanctuary,https://www.gate.io/announcements/article/38871,Gate Charity,2024-08-27 UTC,4917
Gate Charity Empowers 65 Children with Essential School Supplies at Cam Ly Shelter Home,https://www.gate.io/announcements/article/38684,Gate Charity,2024-08-20 UTC,1742
"Gate Charity Launches ""Sustainable Green Future NFT (Taiwan)"" to Combat Plastic Pollution",https://www.gate.io/announcements/article/38528,Gate Charity,2024-08-13 UTC,5685
Belgrad Forest Cleanup: Gate Charity's Inspiring Environmental Initiative,https://www.gate.io/announcements/article/38519,Gate Charity,2024-08-12 UTC,3361
Friendship Knows No Borders: Gate Charity’s Fundraiser for the Down Syndrome Association,https://www.gate.io/announcements/article/38422,Gate Charity,2024-08-06 UTC,7203
Gate Charity's 'Happy Playground' Event Brings Joy to Children in Need,https://www.gate.io/announcements/article/38148,Gate Charity,2024-07-25 UTC,4770
Gate Charity's 'Books for the Sea' Empowered Duano Tribe with Literacy Drive in Indonesia,https://www.gate.io/announcements/article/38123,Gate Charity,2024-07-25 UTC,2677
"Gate Charity Empowers Single Mothers with ""Warm Sharing, Together for the Future"" Initiative",https://www.gate.io/announcements/article/38036,Gate Charity,2024-07-23 UTC,4221
"Gate Charity Launches ""Sika Art Centre Empowering Young Artists NFT (Benin)"" to Support Artists in Benin",https://www.gate.io/announcements/article/37657,Gate Charity,2024-07-04 UTC,5706
Gate Charity Partnered with SEAD to Launch Wellness & Care Initiative for Anak Dalam Tribe,https://www.gate.io/announcements/article/37489,Gate Charity,2024-06-26 UTC,8444
"Gate Charity Partners with Forum Animal for ""World Day to End Live Animal Exports"" Event",https://www.gate.io/announcements/article/37406,Gate Charity,2024-06-21 UTC,13676
Gate.io Structured Product Launched: Earn up to 13% APR,https://www.gate.io/announcements/article/39168,Finance,15 hours 39 min 25 sec ago,2543
Gate.io HODL & Earn: Lock WAMPL To Earn 150% APR,https://www.gate.io/announcements/article/39160,Finance,17 hours 4 min 54 sec ago,1814
Gate.io HODL & Earn: Lock BYIN To Earn 150% APR,https://www.gate.io/announcements/article/39155,Finance,18 hours 24 min 29 sec ago,992
"Gate.io GT Staking Now Live on the App, Earn 15.46% Real-time APR!",https://www.gate.io/announcements/article/39140,Finance,1 day ago,12027
Gate.io Supports Simple Earn SUNDOG/POPCAT : Real-Time APR Reaches 499.32%!,https://www.gate.io/announcements/article/39138,Finance,1 day ago,3020
Gate.io Structured Product Launched: Earn up to 14% APR,https://www.gate.io/announcements/article/39136,Finance,1 day ago,1839
Gate.io Lock USDT & Earn: 40% APR Exclusively for New Users!,https://www.gate.io/announcements/article/39130,Finance,1 day ago,2930
Gate.io HODL & Earn: Lock CTP To Earn 150% APR,https://www.gate.io/announcements/article/39126,Finance,1 day ago,2499
Gate.io Supports GT Staking: Stake & Earn up to 10.49% APR Now!,https://www.gate.io/announcements/article/39113,Finance,2 day ago,15373
Gate.io Structured Product Launched: Earn up to 8% APR,https://www.gate.io/announcements/article/39111,Finance,2 day ago,2345
Gate.io HODL & Earn: Lock SKOP To Earn 150% APR,https://www.gate.io/announcements/article/39106,Finance,2 day ago,2885
Gate.io HODL & Earn: Lock SNS To Earn 150% APR,https://www.gate.io/announcements/article/39104,Finance,2 day ago,3401
Gate.io Structured Product Launched: Enjoy weekend & Earn up to 15% APR,https://www.gate.io/announcements/article/39081,Finance,5 day ago,3993
Gate.io HODL & Earn: Lock MAK To Earn 150% APR,https://www.gate.io/announcements/article/39079,Finance,5 day ago,4632
Gate.io HODL & Earn: Lock FOXSY To Earn 200% APR,https://www.gate.io/announcements/article/39076,Finance,5 day ago,7735
"Gate.io SWGT, GEMS, SEAL, 0DOG, TOSHI, SUNDOG, KONET and BN Trading Competition Reward Distributed Announcement",https://www.gate.io/announcements/article/39048,Trading Competitions,6 day ago,5144
"Cross-Chain Decentralized Identity Solution : Apollo Name Service (ANS) Trading Competition is Live, Join and Share $10,000 Rewards!",https://www.gate.io/announcements/article/39027,Trading Competitions,2024-09-04 UTC,8196
"Blockchain-Enhanced Conversational AI: KITE AI (KITEAI) Trading Competition is Live, Join and Share $23,000 Rewards!",https://www.gate.io/announcements/article/38992,Trading Competitions,2024-09-03 UTC,5427
"DAO-Governed Multichain Launchpad: Pika Protocal (PIKA) Trading Competition is Live, Join and Share $22,000 Rewards!",https://www.gate.io/announcements/article/38971,Trading Competitions,2024-09-02 UTC,6569
"Decentralized Digital Advertising Platform: LTD Token (LTD) Trading Competition is Live, Join and Share $10,000 Rewards!",https://www.gate.io/announcements/article/38957,Trading Competitions,2024-08-31 UTC,12107
"Innovative Social Economy Engine : Moxie(MOXIE) Trading Competition is Live, Join and Share $60,000 Rewards!",https://www.gate.io/announcements/article/38903,Trading Competitions,2024-08-29 UTC,10589
"Gate.io CATDOG, NCN, WHY and CAD Trading Competition Reward Distributed Announcement",https://www.gate.io/announcements/article/38873,Trading Competitions,2024-08-28 UTC,3613
"Building with AI and Decentralization: Sonorus (SNS) Trading Competition is Live, Join and Share $13,000 Rewards!",https://www.gate.io/announcements/article/38859,Trading Competitions,2024-08-27 UTC,10682
"Cross-Chain Derivatives Token: Orderly Network (ORDER) Trading Competition is Live, Join and Share $39,000 Rewards!",https://www.gate.io/announcements/article/38853,Trading Competitions,2024-08-27 UTC,9838
"Domain Innovation & Cross-Chain Token: TNA (BN) Trading Competition is Live, Join and Share $25,000 Rewards!",https://www.gate.io/announcements/article/38795,Trading Competitions,2024-08-23 UTC,10677
"PoSDAO for Decentralized Governance: KONET(KONET) Trading Competition is Live, Join and Share $16,000 Rewards!",https://www.gate.io/announcements/article/38788,Trading Competitions,2024-08-23 UTC,6147
"A Dynamic Token on TRON: SunDog (SUNDOG) Trading Competition is Live, Join and Share $15,000 Rewards!",https://www.gate.io/announcements/article/38767,Trading Competitions,2024-08-22 UTC,9505
"Build on Base Blockchain: Toshi(TOSHI) Trading Competition is Live, Join and Share $14,000 Rewards!",https://www.gate.io/announcements/article/38760,Trading Competitions,2024-08-22 UTC,6663
"A Digital Playground: Bitcoin Dogs(0DOG) Trading Competition is Live, Join and Share $10,000 Rewards!",https://www.gate.io/announcements/article/38754,Trading Competitions,2024-08-22 UTC,13923
"Token Deployed on RGB++ Protocol: Seal(SEAL) Trading Competition is Live, Join and Share $12,000 Rewards!",https://www.gate.io/announcements/article/38734,Trading Competitions,2024-08-21 UTC,8716
Gate.io Completes Saitama (SAITAMA) Migration to SaitaChain (STCHAIN),https://www.gate.io/announcements/article/39158,Deposit & Withdrawal,17 hours 26 min 42 sec ago,3521
Gate.io Completes WazirX (WRX) Token Migration,https://www.gate.io/announcements/article/39061,Deposit & Withdrawal,6 day ago,6131
Gate.io Completes Crypterium (CRPT) Migration to Choise (CHO),https://www.gate.io/announcements/article/39040,Deposit & Withdrawal,6 day ago,3995
Gate.io Supports Upcoming Firo (FIRO) Upgrade,https://www.gate.io/announcements/article/39024,Deposit & Withdrawal,2024-09-04 UTC,4404
Gate.io Completes Frontier (FRONT) to Self Chain (SLF) Token Migration,https://www.gate.io/announcements/article/39014,Deposit & Withdrawal,2024-09-03 UTC,9475
Gate.io Completes Router Protocol (ROUTE) Token Split,https://www.gate.io/announcements/article/39013,Deposit & Withdrawal,2024-09-03 UTC,7885
Gate.io Supports BLOCX (BLOCX) Upgrade Plan,https://www.gate.io/announcements/article/39012,Deposit & Withdrawal,2024-09-03 UTC,4157
Gate.io Supports Upcoming Flow (FLOW) Network Upgrade and Hard Fork,https://www.gate.io/announcements/article/39009,Deposit & Withdrawal,2024-09-03 UTC,7265
Gate.io Supports Upcoming Oasys (OAS) Upgrade,https://www.gate.io/announcements/article/38990,Deposit & Withdrawal,2024-09-03 UTC,3794
Gate.io Completes SpongeBob (SPONGE) Token Migration,https://www.gate.io/announcements/article/38979,Deposit & Withdrawal,2024-09-02 UTC,6711
Gate.io Supports Crypterium (CRPT) Migration to Choise (CHO),https://www.gate.io/announcements/article/38958,Deposit & Withdrawal,2024-08-31 UTC,11272
Gate.io Has Added CLOUD Perpetual Contract,https://www.gate.io/announcements/article/38956,Deposit & Withdrawal,2024-08-31 UTC,6304
Gate.io Supports Upcoming Horizen  (ZEN) Upgrade,https://www.gate.io/announcements/article/38928,Deposit & Withdrawal,2024-08-30 UTC,6370
Gate.io Completes Finschia(FNSA) Merger to Klaytn (KLAY) and Facilitates Rebranding,https://www.gate.io/announcements/article/38927,Deposit & Withdrawal,2024-08-30 UTC,7053
Gate.io Supports Upcoming Cardano (ADA)  Upgrade,https://www.gate.io/announcements/article/38914,Deposit & Withdrawal,2024-08-29 UTC,6291
Regarding ETFs (DOT5L、UNI5L、ETH5L、ARB3L、EOS5L) Reverse Split,https://www.gate.io/announcements/article/38986,ETF,2024-09-02 UTC,12262
Regarding ETFs (NEAR3S、TRX3S、DOGE5S、FTM3S、BTC5S) Reverse Split,https://www.gate.io/announcements/article/38814,ETF,2024-08-26 UTC,4656
Regarding ETFs (EOS5S、SEI3S、FTT3S、PEPE3S、KLAY3S) Reverse Split,https://www.gate.io/announcements/article/38813,ETF,2024-08-26 UTC,2542
Regarding ETFs (LTC5S、MATIC3L、BSV3L、RUNE3S、LDO3L) Reverse Split,https://www.gate.io/announcements/article/38654,ETF,2024-08-19 UTC,4273
Regarding ETFs (ZEN3L、APT3L、BCH5S、DOGE5L、SUI3S) Reverse Split,https://www.gate.io/announcements/article/38652,ETF,2024-08-19 UTC,6174
Regarding ETFs (STRK3L、SXP3L、GALA5L、GALA3L、BSV5L) Reverse Split,https://www.gate.io/announcements/article/38504,ETF,2024-08-12 UTC,5334
Regarding ETFs (HBAR3L、XRP5S、FIL3L、AAVE3S、MASK3L) Reverse Split,https://www.gate.io/announcements/article/38503,ETF,2024-08-12 UTC,3391
Regarding ETFs (LTC5L、CHZ3L、DYDX3L、APE3L、AXS5L) Reverse Split,https://www.gate.io/announcements/article/38387,ETF,2024-08-05 UTC,8438
Regarding ETFs (SAND3L、MINA3L、KSM3L、EOS3L、ALGO3L) Reverse Split,https://www.gate.io/announcements/article/37749,ETF,2024-07-09 UTC,8368
Regarding ETFs (BLUR3L、SHIB5L、BCH5L、GALA5L、LINK5L) Reverse Split,https://www.gate.io/announcements/article/37601,ETF,2024-07-02 UTC,15205
Regarding ETFs (EOS5L、OMG3L、SNX3L、ARPA3L、KAVA3L) Reverse Split,https://www.gate.io/announcements/article/37286,ETF,2024-06-17 UTC,12679
Regarding ETFs (BSV5L、PEOPLE3S、DOGE5L、AR3S、GALA5S) Reverse Split,https://www.gate.io/announcements/article/37127,ETF,2024-06-11 UTC,12878
Regarding ETFs (ACH3S、UNI5L、BTC3S、QTUM3S、XRP3L) Reverse Split,https://www.gate.io/announcements/article/35959,ETF,2024-04-16 UTC,24480
Regarding ETFs (DOT5L、GALA5L、AXS5L、GMT3L、XRP5L) Reverse Split,https://www.gate.io/announcements/article/35911,ETF,2024-04-14 UTC,40395
Regarding ETFs (ADA3S、ETH5S、BLUR3S、SAND3S、MKR3S) Reverse Split,https://www.gate.io/announcements/article/35001,ETF,2024-03-11 UTC,16694
